"time","high","low","open","close","volume"
"2019-04-08T09:20:00+08:00",30119.58,30119.58,30119.58,30119.58,0
"2019-04-08T09:25:00+08:00",30119.58,30119.58,30119.58,30119.58,0
"2019-04-08T09:30:00+08:00",30185.060546875,30104.529296875,30119.580078125,30149.369140625,0
"2019-04-08T09:35:00+08:00",30149.16015625,30117.9609375,30149.16015625,30133.4609375,0
"2019-04-08T09:40:00+08:00",30140.150390625,30111.4296875,30128.16015625,30121.029296875,0
"2019-04-08T09:45:00+08:00",30126.48046875,30082.05078125,30120.80078125,30101.66015625,0
"2019-04-08T09:50:00+08:00",30142.849609375,30099.080078125,30099.080078125,30137.3203125,0
"2019-04-08T09:55:00+08:00",30147.859375,30107.19921875,30137.240234375,30111.380859375,0
"2019-04-08T10:00:00+08:00",30119.69921875,30079.2109375,30116.150390625,30079.2109375,0
"2019-04-08T10:05:00+08:00",30085.009765625,30060.560546875,30080.630859375,30064.630859375,0
"2019-04-08T10:10:00+08:00",30067.259765625,30027.3203125,30067.259765625,30046.060546875,0
"2019-04-08T10:15:00+08:00",30072.66015625,30033.4609375,30041.560546875,30063.009765625,0
"2019-04-08T10:20:00+08:00",30065.580078125,30026.390625,30065.08984375,30031.26953125,0
"2019-04-08T10:25:00+08:00",30042.76953125,30022.150390625,30033.330078125,30032.259765625,0
"2019-04-08T10:30:00+08:00",30076.48046875,30029,30032.099609375,30072.150390625,0
"2019-04-08T10:35:00+08:00",30073.91015625,30050.220703125,30069.419921875,30057.369140625,0
"2019-04-08T10:40:00+08:00",30093.779296875,30059.4296875,30059.4296875,30081.5,0
"2019-04-08T10:45:00+08:00",30087.669921875,30071.119140625,30082.470703125,30079.259765625,0
"2019-04-08T10:50:00+08:00",30096.349609375,30066.9609375,30086.76953125,30096.349609375,0
"2019-04-08T10:55:00+08:00",30105.509765625,30087.41015625,30094.349609375,30095.5703125,0
"2019-04-08T11:00:00+08:00",30098.91015625,30076.7109375,30091.119140625,30087.330078125,0
"2019-04-08T11:05:00+08:00",30093.939453125,30054.94921875,30093.19921875,30056.259765625,0
"2019-04-08T11:10:00+08:00",30078.599609375,30057.740234375,30059.349609375,30077.1796875,0
"2019-04-08T11:15:00+08:00",30081.599609375,30052.869140625,30076.279296875,30052.869140625,0
"2019-04-08T11:20:00+08:00",30066.23046875,30051.1796875,30054.83984375,30057.830078125,0
"2019-04-08T11:25:00+08:00",30063.73046875,30029.349609375,30060.01953125,30033.26953125,0
"2019-04-08T11:30:00+08:00",30035.80078125,30005.51953125,30030.9609375,30013.259765625,0
"2019-04-08T11:35:00+08:00",30033.169921875,30004.58984375,30014.9609375,30033.169921875,0
"2019-04-08T11:40:00+08:00",30035,30015.580078125,30035,30016.400390625,0
"2019-04-08T11:45:00+08:00",30022.73046875,30007.470703125,30016.80078125,30021.8203125,0
"2019-04-08T11:50:00+08:00",30027.5390625,30013.9296875,30022.5703125,30024.140625,0
"2019-04-08T11:55:00+08:00",30031.939453125,30013.4296875,30021.609375,30022.58984375,0
"2019-04-08T12:00:00+08:00",30023.509765625,30023.509765625,30023.509765625,30023.509765625,0
"2019-04-08T12:05:00+08:00",30023.509765625,30023.509765625,30023.509765625,30023.509765625,0
"2019-04-08T12:10:00+08:00",,,,,
"2019-04-08T12:15:00+08:00",,,,,
"2019-04-08T12:20:00+08:00",,,,,
"2019-04-08T12:25:00+08:00",,,,,
"2019-04-08T12:30:00+08:00",,,,,
